participant,task,time_in_ms,technique
1,1,2410,quo
1,2,4090,quo
1,3,3750,quo
1,4,2250,quo
2,1,1720,quo
2,2,3580,quo
2,3,3790,quo
2,4,2240,quo
3,1,2520,quo
3,2,3290,quo
3,3,3160,quo
3,4,2050,quo
4,1,2100,quo
4,2,2890,quo
4,3,3040,quo
4,4,2760,quo
,,,
1,1,2820,gesture
1,2,7530,gesture
1,3,7040,gesture
1,4,2810,gesture
2,1,2410,gesture
2,2,6850,gesture
2,3,6510,gesture
2,4,2630,gesture
3,1,2560,gesture
3,2,6240,gesture
3,3,7310,gesture
3,4,2600,gesture
4,1,2870,gesture
4,2,6700,gesture
4,3,6720,gesture
4,4,3140,gesture
